date,base_nav,ukf_timed_nav,rv_21d_timed_nav
2019-03-06,1.0128641497207267,1.0679397625850133,1.0395918842271585
2019-03-07,1.0128834485902005,1.0679694378813815,1.0396187332289712
2019-03-08,1.0130526241886832,1.0682840541391878,1.0399260673598958
2019-03-11,1.012999420936228,1.0681791958603126,1.0398215995658457
2019-03-12,1.0126995480587533,1.0675881764702884,1.0392327810902904
2019-03-13,1.0126318348283558,1.0674547204789926,1.0390998220796812
2019-03-14,1.0117467261738742,1.0657102600213402,1.0373618578695742
2019-03-15,1.009571514055556,1.0618032366656378,1.033171898265971
2019-03-18,1.0092698501815283,1.0616498769236289,1.0326738136917413
2019-03-19,1.0099492573123523,1.0620486859321365,1.0337815017305343
2019-03-20,1.0099241366194982,1.062072235465287,1.0337304379521266
2019-03-21,1.0041720119820903,1.0585689834000367,1.0243857831170453
2019-03-22,1.0101791971806011,1.0627510236220155,1.033992918977494
2019-03-25,1.0113286151099297,1.064185620007707,1.0356435844279572
2019-03-26,1.0114586006841009,1.0643484645456225,1.0358319046231486
2019-03-27,1.0121024664199538,1.065132600881866,1.0367037700260437
2019-03-28,1.012367396398249,1.0654559579652525,1.0370644393716428
2019-03-29,1.0125721732777626,1.0657072363645481,1.0372969042849984
2019-04-01,1.0127152848040086,1.0658835052324194,1.037444500350681
2019-04-02,1.0124430229214785,1.0655442354142244,1.0371875688517647
2019-04-03,1.0124117172751121,1.0655056765993776,1.0371552822123966
2019-04-04,1.012675034687252,1.0658339296133308,1.0374029889572076
2019-04-05,1.0130746380894546,1.0663387763575969,1.0378018557475333
2019-04-08,1.0129018721389886,1.0661024200721678,1.0376076948473172
2019-04-09,1.0132161430093996,1.0665373052718181,1.038007276772301
2019-04-10,1.0133451508575237,1.066716522818989,1.0381778564996504
2019-04-11,1.0135779599296089,1.0670370665541427,1.0384586930040827
2019-04-12,1.013802508792989,1.0673716013800885,1.0388546600296162
2019-04-15,1.01392874423391,1.0675654978998532,1.0391038895540339
