date,mu,kappa,theta,xi,rho,v0,optimization_success,objective,iterations,ticker
2020-03-23,-0.015493392030501579,2.3852345313586945,0.8226102645772222,1.8360123092979936,-0.6630355553773826,0.03872984476359799,True,-56.94182904358147,0,SPY
2020-03-24,-0.015493392030501579,2.3852345313586945,0.8226102645772222,1.8360123092979936,-0.6630355553773826,0.03872984476359799,True,-55.8246371100799,0,SPY
2020-03-25,-0.015493392030501579,2.3852345313586945,0.8226102645772222,1.8360123092979936,-0.6630355553773826,0.03872984476359799,True,-54.146568962824,0,SPY
2020-03-26,-0.015493392030501579,2.3852345313586945,0.8226102645772222,1.8360123092979936,-0.6630355553773826,0.03872984476359799,True,-52.496190620824734,0,SPY
2020-03-27,-0.015493392030501579,2.3852345313586945,0.8226102645772222,1.8360123092979936,-0.6630355553773826,0.03872984476359799,True,-51.161709861377624,0,SPY
2020-03-30,0.0176402677373331,2.5698773803755874,1.4241296607032405,2.4520274687631725,-0.790799688747435,0.03872984268838483,True,-52.44551547218636,10,SPY
2020-03-31,0.0176402677373331,2.5698773803755874,1.4241296607032405,2.4520274687631725,-0.790799688747435,0.03872984268838483,True,-51.217385978761044,0,SPY
2020-04-01,0.0176402677373331,2.5698773803755874,1.4241296607032405,2.4520274687631725,-0.790799688747435,0.03872984268838483,True,-49.47961522230911,0,SPY
2020-04-02,0.0176402677373331,2.5698773803755874,1.4241296607032405,2.4520274687631725,-0.790799688747435,0.03872984268838483,True,-47.63707019318726,0,SPY
2020-04-03,0.0176402677373331,2.5698773803755874,1.4241296607032405,2.4520274687631725,-0.790799688747435,0.03872984268838483,True,-44.71816275540305,0,SPY
2020-04-06,0.0176402677373331,2.5698773803755874,1.4241296607032405,2.4520274687631725,-0.790799688747435,0.03872984268838483,True,-43.76375624834158,0,SPY
2020-04-07,0.0176402677373331,2.5698773803755874,1.4241296607032405,2.4520274687631725,-0.790799688747435,0.03872984268838483,True,-42.533284392681175,0,SPY
2020-04-08,0.0176402677373331,2.5698773803755874,1.4241296607032405,2.4520274687631725,-0.790799688747435,0.03872984268838483,True,-38.39370254037229,0,SPY
2020-04-09,0.0176402677373331,2.5698773803755874,1.4241296607032405,2.4520274687631725,-0.790799688747435,0.03872984268838483,True,88.37401551296456,0,SPY
2020-04-13,0.0176402677373331,2.5698773803755874,1.4241296607032405,2.4520274687631725,-0.790799688747435,0.03872984268838483,True,91.17549896758322,0,SPY
2020-04-14,0.0176402677373331,2.5698773803755874,1.4241296607032405,2.4520274687631725,-0.790799688747435,0.03872984268838483,True,-39.45892719026707,0,SPY
2020-04-15,0.0176402677373331,2.5698773803755874,1.4241296607032405,2.4520274687631725,-0.790799688747435,0.03872984268838483,True,148.93472299045789,0,SPY
2020-04-16,0.0176402677373331,2.5698773803755874,1.4241296607032405,2.4520274687631725,-0.790799688747435,0.03872984268838483,True,-40.83285473654598,0,SPY
2020-04-17,0.0176402677373331,2.5698773803755874,1.4241296607032405,2.4520274687631725,-0.790799688747435,0.03872984268838483,True,-37.743180964770055,0,SPY
2020-04-20,0.0176402677373331,2.5698773803755874,1.4241296607032405,2.4520274687631725,-0.790799688747435,0.03872984268838483,True,-24.541836150560595,0,SPY
2020-04-21,0.904405075864244,9.191749952357995,0.09969095604397535,0.9841756008657743,-0.1792546574641674,0.7117175411514612,False,-50.531751721850995,12,SPY
2020-04-22,0.904405075864244,9.191749952357995,0.09969095604397535,0.9841756008657743,-0.1792546574641674,0.7117175411514612,True,-51.26263810289662,0,SPY
2020-04-23,0.904405075864244,9.191749952357995,0.09969095604397535,0.9841756008657743,-0.1792546574641674,0.7117175411514612,True,-52.17563890027699,0,SPY
2020-04-24,0.904405075864244,9.191749952357995,0.09969095604397535,0.9841756008657743,-0.1792546574641674,0.7117175411514612,True,-54.43793526402357,0,SPY
2020-04-27,0.904405075864244,9.191749952357995,0.09969095604397535,0.9841756008657743,-0.1792546574641674,0.7117175411514612,True,-55.979692293235736,0,SPY
2020-04-28,0.904405075864244,9.191749952357995,0.09969095604397535,0.9841756008657743,-0.1792546574641674,0.7117175411514612,True,-59.168729882671116,0,SPY
2020-04-29,0.904405075864244,9.191749952357995,0.09969095604397535,0.9841756008657743,-0.1792546574641674,0.7117175411514612,True,-59.62816096861103,0,SPY
2020-04-30,0.904405075864244,9.191749952357995,0.09969095604397535,0.9841756008657743,-0.1792546574641674,0.7117175411514612,True,-60.413604227606065,0,SPY
2020-05-01,0.904405075864244,9.191749952357995,0.09969095604397535,0.9841756008657743,-0.1792546574641674,0.7117175411514612,True,-60.28276142139135,0,SPY
2020-05-04,0.904405075864244,9.191749952357995,0.09969095604397535,0.9841756008657743,-0.1792546574641674,0.7117175411514612,True,-61.10275200644887,0,SPY
